"Species href","Species-common","Species-sci","Obs-count","Icon href","is-visuallyHidden 2","Obs-date href","Obs-date","is-visuallyHidden 3","Obs-observer","is-visuallyHidden 4","Obs-location-name","Obs-location-name href","Icon href 4","is-visuallyHidden 5","is-visuallyHidden 6"
"https://ebird.org/species/saypho/US-OR-051","Say's Phoebe","Sayornis saya","1","[object Object]","Date:","https://ebird.org/checklist/S210916272","17 Mar 1990","Observer:","Oregon Birds Historical Data","Location:","Oaks Bottom Wildlife Refuge","https://ebird.org/region/L453974?rank=lrec","[object Object]","Show details","Details:"
"https://ebird.org/species/rengre/US-OR-051","Red-necked Grebe","Podiceps grisegena","1","[object Object]","Date:","https://ebird.org/checklist/S185557657","4 Mar 1990","Observer:","Nick Lethaby","Location:","Sauvie Island (Multnomah Co.)","https://ebird.org/region/L712038?rank=lrec","","",""
"https://ebird.org/species/eargre/US-OR-051","Eared Grebe","Podiceps nigricollis","1","[object Object]","Date:","https://ebird.org/checklist/S185557657","4 Mar 1990","Observer:","Nick Lethaby","Location:","Sauvie Island (Multnomah Co.)","https://ebird.org/region/L712038?rank=lrec","[object Object]","Show details","Details:"
"https://ebird.org/species/harspa/US-OR-051","Harris's Sparrow","Zonotrichia querula","1","[object Object]","Date:","https://ebird.org/checklist/S185357417","31 Dec 1989","Observer:","Nick Lethaby","Location:","Sauvie Island (Multnomah Co.)","https://ebird.org/region/L712038?rank=lrec","[object Object]","Show details","Details:"
"https://ebird.org/species/goleag/US-OR-051","Golden Eagle","Aquila chrysaetos","1","[object Object]","Date:","https://ebird.org/checklist/S14427976","23 Dec 1989","Observer:","Greg Gillson","Location:","Sauvie Island--Raccoon Point","https://ebird.org/region/L831968?rank=lrec","[object Object]","Show details","Details:"
"https://ebird.org/species/comter/US-OR-051","Common Tern","Sterna hirundo","1","[object Object]","Date:","https://ebird.org/checklist/S18919835","9 Sep 1989","Observer:","Tom Crabtree","Location:","Sauvie Island (Multnomah Co.)","https://ebird.org/region/L712038?rank=lrec","[object Object]","Show details","Details:"
"https://ebird.org/species/amgplo/US-OR-051","American Golden-Plover","Pluvialis dominica","1","[object Object]","Date:","https://ebird.org/checklist/S146714085","2 Sep 1989","Observer:","Nick Lethaby","Location:","Sauvie Island--Raccoon Point","https://ebird.org/region/L831968?rank=lrec","[object Object]","Show details","Details:"
"https://ebird.org/species/ruff/US-OR-051","Ruff","Calidris pugnax","1","[object Object]","Date:","https://ebird.org/checklist/S61886352","31 Aug 1989","Observer:","Jeff Bolsinger","Location:","Sauvie Island--Raccoon Point","https://ebird.org/region/L831968?rank=lrec","[object Object]","Show details","Details:"
"https://ebird.org/species/wilpha/US-OR-051","Wilson's Phalarope","Phalaropus tricolor","1","[object Object]","Date:","https://ebird.org/checklist/S146524675","11 Aug 1989","Observer:","Nick Lethaby","Location:","Sauvie Island--Raccoon Point","https://ebird.org/region/L831968?rank=lrec","[object Object]","Show details","Details:"
"https://ebird.org/species/whwcro/US-OR-051","White-winged Crossbill","Loxia leucoptera","3","[object Object]","Date:","https://ebird.org/checklist/S205191817","29 Jul 1989","Observer:","Oregon Birds Historical Data","Location:","Larch Mountain","https://ebird.org/region/L447386?rank=lrec","[object Object]","Show details","Details:"
"https://ebird.org/species/ameavo/US-OR-051","American Avocet","Recurvirostra americana","1","[object Object]","Date:","https://ebird.org/checklist/S52507756","3 Jun 1989","Observer:","Tim Shelmerdine","Location:","Gertz Rd. Marsh (historic)","","[object Object]","Show details","Details:"
